SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.08,0.14,M,IF,EX,410, 8/30/2024
RO,0.08,0.14,M,VVS1,EX,410, 8/30/2024
RO,0.08,0.14,M,VVS2,EX,410, 8/30/2024
RO,0.08,0.14,M,VS1,EX,370, 8/30/2024
RO,0.08,0.14,M,VS2,EX,370, 8/30/2024
RO,0.08,0.14,M,SI1,EX,330, 8/30/2024
RO,0.08,0.14,M,SI2,EX,290, 8/30/2024
RO,0.08,0.14,M,SI3,EX,260, 8/30/2024
RO,0.08,0.14,M,I1,EX,220, 8/30/2024
RO,0.08,0.14,M,I2,EX,190, 8/30/2024
RO,0.08,0.14,M,I3,EX,160, 8/30/2024
RO,0.08,0.14,N,IF,EX,410, 8/30/2024
RO,0.08,0.14,N,VVS1,EX,410, 8/30/2024
RO,0.08,0.14,N,VVS2,EX,410, 8/30/2024
RO,0.08,0.14,N,VS1,EX,370, 8/30/2024
RO,0.08,0.14,N,VS2,EX,370, 8/30/2024
RO,0.08,0.14,N,SI1,EX,330, 8/30/2024
RO,0.08,0.14,N,SI2,EX,290, 8/30/2024
RO,0.08,0.14,N,SI3,EX,260, 8/30/2024
RO,0.08,0.14,N,I1,EX,220, 8/30/2024
RO,0.08,0.14,N,I2,EX,190, 8/30/2024
RO,0.08,0.14,N,I3,EX,160, 8/30/2024
RO,0.15,0.17,D,IF,EX,1250, 8/30/2024
RO,0.15,0.17,D,VVS1,EX,1250, 8/30/2024
RO,0.15,0.17,D,VVS2,EX,1250, 8/30/2024
RO,0.15,0.17,D,VS1,EX,1110, 8/30/2024
RO,0.15,0.17,D,VS2,EX,1110, 8/30/2024
RO,0.15,0.17,D,SI1,EX,980, 8/30/2024
RO,0.15,0.17,D,SI2,EX,850, 8/30/2024
RO,0.15,0.17,D,SI3,EX,760, 8/30/2024
RO,0.15,0.17,D,I1,EX,640, 8/30/2024
RO,0.15,0.17,D,I2,EX,520, 8/30/2024
